"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"1","value",5,3.04,2,0,5,2,"Noun"
"2","head",4,4.28,13,28,3,1,"Noun"
"3","staff",5,3.21,2,8,4,1,"Noun"
"4","band",4,3.44,14,17,4,1,"Noun"
"5","eyes",4,4.05,2,17,2,1,"Noun"
"6","college",7,3.64,1,3,5,2,"Noun"
"7","rabbit",6,3.03,0,2,5,2,"Noun"
"8","thanks",6,4.5,1,6,5,1,"Noun"
"9","person",6,4.04,1,3,4,2,"Noun"
"10","rope",4,3.06,16,30,3,1,"Noun"
"11","bomb",4,3.44,4,17,3,1,"Noun"
"12","pet",3,3.01,21,28,3,1,"Noun"
"13","pressure",8,3.43,0,0,5,2,"Noun"
"14","prince",6,3.36,1,3,5,1,"Noun"
"15","engine",6,3.21,0,0,5,2,"Noun"
"16","thousand",8,3.55,0,1,5,2,"Noun"
"17","chief",5,3.6,1,12,3,1,"Noun"
"18","cure",4,3.03,11,1,4,1,"Noun"
"19","price",5,3.44,4,6,4,1,"Noun"
"20","type",4,3.49,2,17,3,1,"Noun"
"21","loss",4,3.17,13,17,3,1,"Noun"
"22","weapon",6,3.38,0,0,5,2,"Noun"
"23","magic",5,3.43,1,1,5,2,"Noun"
"24","bird",4,3.37,3,29,3,1,"Noun"
"25","milk",4,3.34,7,6,4,1,"Noun"
"26","proof",5,3.24,0,4,4,1,"Noun"
"27","belt",4,3.09,12,16,4,1,"Noun"
"28","trip",4,3.62,6,11,4,1,"Noun"
"29","truth",5,3.99,0,4,4,1,"Noun"
"30","east",4,3.4,10,3,3,1,"Noun"
"31","months",6,3.92,1,0,5,1,"Noun"
"32","mayor",5,3.2,2,0,4,1,"Noun"
"33","jury",4,3.34,4,2,4,2,"Noun"
"34","sheriff",7,3.49,0,1,5,2,"Noun"
"35","throat",6,3.26,1,7,4,1,"Noun"
"36","hook",4,3.29,12,14,3,1,"Noun"
"37","outfit",6,3.11,1,3,5,2,"Noun"
"38","friend",6,4.33,0,4,5,1,"Noun"
"39","pain",4,3.7,11,37,3,1,"Noun"
"40","dinner",6,4.01,2,12,4,2,"Noun"
